timestamp	 clinton_538_po	 clinton_538_po	 clinton_bf	 trump_bf	 clinton_538_nc	 clinton_538_nc	 clinton_538_pp	 clinton_538_pp
2016-10-19 16:59:00 -0400	0.8624	0.1374	0.83	0.168	0.8758	0.1238	0.8388	0.1609
2016-10-19 15:41:00 -0400	0.867	0.1328	0.833	0.165	0.8755	0.1238	0.8416	0.1582
2016-10-19 15:08:00 -0400	0.8688	0.1311	0.833	0.165	0.8785	0.121	0.8422	0.1577
2016-10-19 14:16:00 -0400	0.86	0.1398	0.833	0.165	0.8733	0.1264	0.833	0.1669
2016-10-19 13:05:00 -0400	0.8653	0.1342	0.833	0.165	0.8753	0.1245	0.8351	0.1648
2016-10-19 12:07:00 -0400	0.8768	0.1229	0.83	0.171	0.8934	0.1061	0.8452	0.1545
2016-10-19 11:24:00 -0400	0.8808	0.119	0.83	0.171	0.8906	0.1091	0.8495	0.1503
2016-10-19 10:25:00 -0400	0.8757	0.1238	0.83	0.171	0.8913	0.1083	0.8452	0.1546
2016-10-19 09:56:00 -0400	0.8778	0.1218	0.83	0.171	0.8899	0.11	0.8497	0.15
2016-10-19 09:20:00 -0400	0.8766	0.1233	0.83	0.171	0.8925	0.1071	0.8457	0.1541
2016-10-19 08:45:00 -0400	0.8722	0.1276	0.83	0.171	0.8849	0.1149	0.8404	0.1594
2016-10-18 22:04:00 -0400	0.8735	0.1264	0.837	0.164	0.8874	0.1124	0.8403	0.1594
2016-10-18 21:31:00 -0400	0.8702	0.12945	0.837	0.164	0.8865	0.11315	0.84005	0.1597
2016-10-18 18:27:00 -0400	0.8757	0.1241	0.837	0.162	0.8893	0.1102	0.8401	0.1597
2016-10-18 17:37:00 -0400	0.8738	0.1261	0.837	0.162	0.8874	0.1121	0.8417	0.1576
2016-10-18 14:56:00 -0400	0.8764	0.1232	0.837	0.162	0.8914	0.1083	0.8458	0.1539
2016-10-18 13:49:00 -0400	0.8772	0.1225	0.837	0.162	0.8955	0.1042	0.8445	0.1554
2016-10-18 12:55:00 -0400	0.8742	0.1255	0.837	0.162	0.89	0.1096	0.8424	0.1574
2016-10-18 11:49:00 -0400	0.874	0.1257	0.844	0.156	0.8931	0.1065	0.8436	0.1561
2016-10-18 11:18:00 -0400	0.8755	0.1244	0.844	0.156	0.8935	0.1064	0.8455	0.1541
2016-10-18 10:22:00 -0400	0.8799	0.1198	0.844	0.156	0.898	0.1016	0.8499	0.15
2016-10-18 08:48:00 -0400	0.8792	0.1205	0.844	0.156	0.8985	0.1013	0.8468	0.1531
2016-10-18 08:09:00 -0400	0.8831	0.1167	0.837	0.162	0.9027	0.097	0.8497	0.1497
2016-10-17 21:45:00 -0400	0.88215	0.11775	0.837	0.164	0.90735	0.09225	0.85145	0.1482
2016-10-17 21:12:00 -0400	0.88625	0.1135	0.837	0.164	0.911	0.08865	0.8568	0.1431
2016-10-17 19:06:00 -0400	0.8871	0.1127	0.837	0.164	0.909	0.0907	0.8603	0.1395
2016-10-17 18:41:00 -0400	0.8816	0.1181	0.837	0.164	0.9025	0.0971	0.8518	0.1475
2016-10-17 17:55:00 -0400	0.8828	0.117	0.837	0.164	0.904	0.0953	0.8464	0.1535
2016-10-17 17:35:00 -0400	0.8817	0.1181	0.837	0.164	0.9047	0.095	0.8511	0.1488
2016-10-17 15:28:00 -0400	0.8842	0.1155	0.837	0.164	0.904	0.0955	0.8542	0.1457
2016-10-17 14:01:00 -0400	0.8772	0.1226	0.837	0.164	0.8963	0.1033	0.8484	0.1512
2016-10-17 12:48:00 -0400	0.8751	0.1246	0.837	0.164	0.8981	0.1014	0.8434	0.1564
